GEOID,Geographic Area Name,Population
0500000US16045,"Gem County, Idaho",19123
0500000US16047,"Gooding County, Idaho",15598
0500000US16049,"Idaho County, Idaho",16541
0500000US16051,"Jefferson County, Idaho",30891
0500000US16053,"Jerome County, Idaho",24237
0500000US16055,"Kootenai County, Idaho",171362
0500000US16057,"Latah County, Idaho",39517
0500000US16059,"Lemhi County, Idaho",7974
0500000US16061,"Lewis County, Idaho",3533
0500000US16063,"Lincoln County, Idaho",5127
0500000US16065,"Madison County, Idaho",52913
0500000US16067,"Minidoka County, Idaho",21613
0500000US16069,"Nez Perce County, Idaho",42090
0500000US16071,"Oneida County, Idaho",4564
0500000US16073,"Owyhee County, Idaho",11913
0500000US16075,"Payette County, Idaho",25386
0500000US16077,"Power County, Idaho",7878
0500000US16079,"Shoshone County, Idaho",13169
0500000US16081,"Teton County, Idaho",11630
0500000US16083,"Twin Falls County, Idaho",90046
0500000US16085,"Valley County, Idaho",11746
0500000US16087,"Washington County, Idaho",10500
0500000US17001,"Adams County, Illinois",65737
0500000US17003,"Alexander County, Illinois",5240
0500000US17005,"Bond County, Illinois",16725
0500000US17007,"Boone County, Illinois",53448
0500000US17009,"Brown County, Illinois",6244
0500000US17011,"Bureau County, Illinois",33244
0500000US17013,"Calhoun County, Illinois",4437
0500000US17015,"Carroll County, Illinois",15702
0500000US17017,"Cass County, Illinois",13042
0500000US17019,"Champaign County, Illinois",205865
0500000US17021,"Christian County, Illinois",34032
0500000US17023,"Clark County, Illinois",15455
0500000US17025,"Clay County, Illinois",13288
0500000US17027,"Clinton County, Illinois",36899
0500000US17029,"Coles County, Illinois",46863
0500000US17031,"Cook County, Illinois",5275541
0500000US17033,"Crawford County, Illinois",18679
0500000US17035,"Cumberland County, Illinois",10450
0500000US17037,"DeKalb County, Illinois",100420
0500000US17039,"De Witt County, Illinois",15516
0500000US17041,"Douglas County, Illinois",19740
0500000US17043,"DuPage County, Illinois",932877
0500000US17045,"Edgar County, Illinois",16866
0500000US17047,"Edwards County, Illinois",6245
0500000US17049,"Effingham County, Illinois",34668
0500000US17051,"Fayette County, Illinois",21488
0500000US17053,"Ford County, Illinois",13534
0500000US17055,"Franklin County, Illinois",37804
0500000US17057,"Fulton County, Illinois",33609
0500000US17059,"Gallatin County, Illinois",4946
0500000US17061,"Greene County, Illinois",11985
0500000US17063,"Grundy County, Illinois",52533
0500000US17065,"Hamilton County, Illinois",7993
0500000US17067,"Hancock County, Illinois",17620
0500000US17069,"Hardin County, Illinois",3649
